target,source,value
0x442dccee68425828c106a3662014b4f131e3bd9b,0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,150
0x60fd35191ffa774e40934efb8ed34b2ec42da320,0x54be3a794282c030b15e43ae2bb182e14c409c5e,112
0x7405fe24003a50e4f4117d35e9b5a9f5e512fede,0xcc7d3706ea82cdb4ec7d2a3eac0e487e17ab975a,101
0xd472b0798421159999e3db0aaa2d53bc0d7acfa3,0x975222a8365e6ab51b7867524f77261cd4ece06e,92
0xaf93fcce0548d3124a5fc3045adaf1dde4e8bf7e,0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,89
0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,0xaf93fcce0548d3124a5fc3045adaf1dde4e8bf7e,78
0xb7692c097a20f6767e0464bbe958d69bf082baf5,0xd3fc6fec4b219c2d74b366fee6b585df71611533,67
0x29b3340f6c8e292a65ab5067632fe7e65fcb7b12,0x7405fe24003a50e4f4117d35e9b5a9f5e512fede,49
0x442dccee68425828c106a3662014b4f131e3bd9b,0xee402489d83e2b22d496910f8c810d35a3ad7b25,40
0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,0xac707ee01a605bfc712536d703e5e790357c48e5,37
0xaf93fcce0548d3124a5fc3045adaf1dde4e8bf7e,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,37
0x5b20783f4baabd33bb53dd77c9b0459f5701e36a,0x688bd66268102b9b3631de78f89b9e1df3247aeb,34
0xaf93fcce0548d3124a5fc3045adaf1dde4e8bf7e,0xf41fa837908c0318a9a2b739c8fb990bfd4ac8a7,34
0x6b3bacba7a6da1d6660079f5fd49fdc167ec5783,0xc310e760778ecbca4c65b6c559874757a4c4ece0,32
0x7c15561590fc9eb063b3803b55165633eef207ec,0xf41fa837908c0318a9a2b739c8fb990bfd4ac8a7,29
0x721931508df2764fd4f70c53da646cb8aed16ace,0x7405fe24003a50e4f4117d35e9b5a9f5e512fede,28
0x2c2ed4b3876c442fee80bee76ce0ee2ca2a512af,0xc310e760778ecbca4c65b6c559874757a4c4ece0,27
0x69bab6810fa99475854bca0a3dd72ae6a0728ece,0x8a4ac0cd96828466e10ffe0c4839ee2a7a2fe76f,26
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x6b3bacba7a6da1d6660079f5fd49fdc167ec5783,26
0x5b20783f4baabd33bb53dd77c9b0459f5701e36a,0xaf93fcce0548d3124a5fc3045adaf1dde4e8bf7e,24
0xa4e774f2290b63b6cb057ef77991fb0e4b901e15,0x91b0851797873bdbcd8a2a519a92fffcfde61041,22
0x7c15561590fc9eb063b3803b55165633eef207ec,0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,21
0x50ad3e17a73b4847ded97794ed6dd999277325c1,0xd3fc6fec4b219c2d74b366fee6b585df71611533,20
0xf41fa837908c0318a9a2b739c8fb990bfd4ac8a7,0x7c15561590fc9eb063b3803b55165633eef207ec,20
0x4c6b83ca1c59781fab57790a46281bbd93e539fe,0xc310e760778ecbca4c65b6c559874757a4c4ece0,19
0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0xc310e760778ecbca4c65b6c559874757a4c4ece0,17
0x3d16356a3ce656b9505ee167fa828b7d03a726de,0x28f8ca3b0eddd849c93986df0fd194252c4e4b03,17
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x2c2ed4b3876c442fee80bee76ce0ee2ca2a512af,17
0x69bab6810fa99475854bca0a3dd72ae6a0728ece,0xaf93fcce0548d3124a5fc3045adaf1dde4e8bf7e,15
0x28f8ca3b0eddd849c93986df0fd194252c4e4b03,0x3d16356a3ce656b9505ee167fa828b7d03a726de,14
0x8a4ac0cd96828466e10ffe0c4839ee2a7a2fe76f,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,14
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x4c6b83ca1c59781fab57790a46281bbd93e539fe,14
0x91b0851797873bdbcd8a2a519a92fffcfde61041,0x563415679588e508c0c8f0a729c9bf898406e9b5,13
0xd3fc6fec4b219c2d74b366fee6b585df71611533,0xc310e760778ecbca4c65b6c559874757a4c4ece0,13
0xa7ab7a265f274fa664187698932d3cabb851023d,0x54be3a794282c030b15e43ae2bb182e14c409c5e,12
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x50d329ca4be534a850c784b9ceee2ba4f32f3d38,12
0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,0x8ab83d869f2bc250b781d26f6584fd5c562fdd9d,12
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,0xa4e774f2290b63b6cb057ef77991fb0e4b901e15,11
0x442dccee68425828c106a3662014b4f131e3bd9b,0x28f8ca3b0eddd849c93986df0fd194252c4e4b03,11
0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,0x7c15561590fc9eb063b3803b55165633eef207ec,11
0xf41fa837908c0318a9a2b739c8fb990bfd4ac8a7,0xaf93fcce0548d3124a5fc3045adaf1dde4e8bf7e,11
0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,0xc310e760778ecbca4c65b6c559874757a4c4ece0,10
0xac707ee01a605bfc712536d703e5e790357c48e5,0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,10
0xe4d825729c7b43b26d038c81e4e0477c30c6a5bc,0xc310e760778ecbca4c65b6c559874757a4c4ece0,10
0x5b20783f4baabd33bb53dd77c9b0459f5701e36a,0x4c6b83ca1c59781fab57790a46281bbd93e539fe,9
0x7c15561590fc9eb063b3803b55165633eef207ec,0x8a4ac0cd96828466e10ffe0c4839ee2a7a2fe76f,9
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,0xdb4df088e85e5d66d2d2ab451d5ead618c124305,8
0x4d7c645a178e4610b0bc45a738df908ab469943d,0xc310e760778ecbca4c65b6c559874757a4c4ece0,8
0x7c15561590fc9eb063b3803b55165633eef207ec,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,8
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x17082a8fbae3c10d73a361f218ae77bafb62bf4d,8
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x4d7c645a178e4610b0bc45a738df908ab469943d,8
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,0x8ab83d869f2bc250b781d26f6584fd5c562fdd9d,7
0x23ffa72d19450516322c8875fce660d80f732b4c,0x7c15561590fc9eb063b3803b55165633eef207ec,7
0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,0x33d27f0bb797de3d20e519f4a192b7570c56681b,7
0x721931508df2764fd4f70c53da646cb8aed16ace,0xde5d7d1dbf75b1fbf70be6f4a9a9f5442751a8c1,7
0x7c15561590fc9eb063b3803b55165633eef207ec,0x23ffa72d19450516322c8875fce660d80f732b4c,7
0xaf93fcce0548d3124a5fc3045adaf1dde4e8bf7e,0x8a4ac0cd96828466e10ffe0c4839ee2a7a2fe76f,7
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x563415679588e508c0c8f0a729c9bf898406e9b5,7
0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,0x7d935fb77f7f1ae608f5ef535a347e8b9965bc99,7
0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,0xc7daff430efad15679f8bb53530debee0308eb1b,7
0xea39c551834d07ee2ee87f1ceff843c308e089af,0xc310e760778ecbca4c65b6c559874757a4c4ece0,7
0x53fed1eb683745352886a363cc0b6e3415824ec8,0x7c15561590fc9eb063b3803b55165633eef207ec,6
0x563415679588e508c0c8f0a729c9bf898406e9b5,0xc310e760778ecbca4c65b6c559874757a4c4ece0,6
0x6165d76626a9dda47e9c7e316533f47b2d641ab8,0x7c15561590fc9eb063b3803b55165633eef207ec,6
0x721931508df2764fd4f70c53da646cb8aed16ace,0x1731bdd386e021a7744282454887a87551725819,6
0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,0xc310e760778ecbca4c65b6c559874757a4c4ece0,6
0x7c15561590fc9eb063b3803b55165633eef207ec,0x6165d76626a9dda47e9c7e316533f47b2d641ab8,6
0x7c15561590fc9eb063b3803b55165633eef207ec,0xa85f0bd039bd6ca4708b72150e29c68642cc3635,6
0x7c15561590fc9eb063b3803b55165633eef207ec,0xd3fc6fec4b219c2d74b366fee6b585df71611533,6
