target,source,value
0x0abb75f676d0c131c04324dd98150a39213edd41,0xcb450c8e269b8b96c944bc5b19c51100bdb4139b,66
0x92d79ccace3fc606845f3a66c9aed75d8e5487a9,0xcefd0e73cc48b0b9d4c8683e52b7d7396600abb2,60
0xfc86a64a8de22cf25410f7601acbd8d6630da93d,0x98bb3a3921200017ebd0af803aeddd464e70e791,57
0x114f1388fab456c4ba31b1850b244eedcd024136,0xe76091f84ddf27f9e773ca8bd2090830943f615c,47
0x08d816526bdc9d077dd685bd9fa49f58a5ab8e48,0x114f1388fab456c4ba31b1850b244eedcd024136,45
0xf0ae2ca261d5e6436f7fed9ca76b97719c07f81a,0x1cbc9af7b19c13d492f4375dfb5e65a8bd04b03d,43
0x4265de963cdd60629d03fee2cd3285e6d5ff6015,0xcbee390e62853b80aaae7181b205f6cf368cff7d,42
0x4265de963cdd60629d03fee2cd3285e6d5ff6015,0x1c70d3a0a945a5146cb852c47c9f93ca0b59afb1,40
0xd28e0016b917f0a2159adae4225a6b5ebe747884,0x46e449a3f88d0e35b4520bc36e8dfda195c896b0,40
0x46e449a3f88d0e35b4520bc36e8dfda195c896b0,0xc310e760778ecbca4c65b6c559874757a4c4ece0,39
0x2206168cde2b3652e2488d9a1283531a4d200aea,0x08d147c4b4a75f0db3ce5b2623ee615b41520ed5,35
0xd9d1c2623fbb4377d9bf29075e610a9b8b4805b4,0x2dab4ce3490bb50b2ea4c07ab1b6a9cfe29d89b3,33
0x701f373df763308d96d8537822e8f9b2bae4e847,0x114f1388fab456c4ba31b1850b244eedcd024136,26
0xf51d05c6477f23647c0d4c9832e6a800e77621ed,0x2dab4ce3490bb50b2ea4c07ab1b6a9cfe29d89b3,25
0x4265de963cdd60629d03fee2cd3285e6d5ff6015,0x4dc6750a016db9a96fef40d852e1faee11733db6,24
0x6d1f97038f6537410ed50456c4a1a9a174f19282,0xc4c6c27b2259794a1dd35d438e703281c0e4a004,22
0x8c72dc9bd9af2921db19bc950e3c65a15f7e9dc3,0x114f1388fab456c4ba31b1850b244eedcd024136,21
0x2dab4ce3490bb50b2ea4c07ab1b6a9cfe29d89b3,0xe76091f84ddf27f9e773ca8bd2090830943f615c,20
0x114f1388fab456c4ba31b1850b244eedcd024136,0x1cbc9af7b19c13d492f4375dfb5e65a8bd04b03d,16
