target,source,value
0xcbd482af76059e2a5e4a825c4cd5ced9f2dfe286,0x577ebc5de943e35cdf9ecb5bbe1f7d7cb6c7c647,699
0xc352b534e8b987e036a93539fd6897f53488e56a,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,399
0x00bd9fd57c423a1b1c969823d409156d90974d77,0xca8fe4acb1cb8b5550a3c71ffe2399f6c7016686,262
0x00bd9fd57c423a1b1c969823d409156d90974d77,0xa3cb30128532f43fe1c8a9f4c19422aa631307a9,246
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,0x6639c089adfba8bb9968da643c6be208a70d6daa,211
0x19384795bf01c1643f633db579458211449956ff,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,185
0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a,0x19384795bf01c1643f633db579458211449956ff,185
0x77675847041c3a896f791aa5f357a8c33a38cbac,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,165
0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,0x77675847041c3a896f791aa5f357a8c33a38cbac,165
0x00d7c902fbbcd3c9db2da80a439c94486c50eb81,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,155
0x577ebc5de943e35cdf9ecb5bbe1f7d7cb6c7c647,0x938bd22a82eaad001cce2d4ef8f030b8a8f07017,150
0x7d438bf6567673867480b7923669bf349e6c8c12,0xa18fd5dfbc015a115a247e2911fcb9d0a19c999a,139
0xa18fd5dfbc015a115a247e2911fcb9d0a19c999a,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,139
0xc352b534e8b987e036a93539fd6897f53488e56a,0xb88f61e6fbda83fbfffabe364112137480398018,139
0xaf93fcce0548d3124a5fc3045adaf1dde4e8bf7e,0x269616d549d7e8eaa82dfb17028d0b212d11232a,121
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0xaf93fcce0548d3124a5fc3045adaf1dde4e8bf7e,121
0xe45df57df7980d8219a5ea811aff949907d0a355,0x1a96afe48e215c47d80eeff6eef64685247c2503,107
0x650dcdeb6ecf05ae3caf30a70966e2f395d5e9e5,0xa5f05cc01916f74b24cc3b7c50315bec578c91ea,104
0xa5f05cc01916f74b24cc3b7c50315bec578c91ea,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,104
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0x13816f65ba8195768e6825eb774fd3c6a05a0ac8,100
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0x843d81eaf23c0073426581de5a3735b060888f1b,91
0x7d438bf6567673867480b7923669bf349e6c8c12,0xee3766e4f996dc0e0f8c929954eaafef3441de87,82
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0x62bdc64a14405e797f86796ea3c2476209ee0bf9,82
0x0d41f957181e584db82d2e316837b2de1738c477,0xaadfe3c8df8b2baa4b656631aea1e9bc8d6a4a4d,80
0xaadfe3c8df8b2baa4b656631aea1e9bc8d6a4a4d,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,80
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0x7d438bf6567673867480b7923669bf349e6c8c12,77
0x6611fe71c233e4e7510b2795c242c9a57790b376,0x0b88fd87884080bd6d93d341fcca0eea76b03e75,76
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0x037e2847c769d20564502183f524f88baa06b389,69
0x51eac3daa1c34f5c2874aa62097ac9965a180b6d,0xcc2a855946a3c20683858fe6ee15acf8b836f0b3,65
0x269616d549d7e8eaa82dfb17028d0b212d11232a,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,63
0xca8fe4acb1cb8b5550a3c71ffe2399f6c7016686,0x062c5432107e3b9ad924512209a7468b5c200fcd,60
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0xe4c479a60633caf3c86228ed6a9b0bdd5d14cf79,59
0xc352b534e8b987e036a93539fd6897f53488e56a,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,55
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0xcf0e9b4746cfb97bae329fe5f696969f6564566a,53
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0xe614065a4ac6d478f141db4595325b537ffa2ea5,52
