target,source,value
0x59d484a88823f90c25b7d6278a1d86116aee223d,0xdcf809bba1d9ee75c6991f1e2974163cf2555418,238
0xdcf809bba1d9ee75c6991f1e2974163cf2555418,0x59d484a88823f90c25b7d6278a1d86116aee223d,238
0x86632848578699919df3944fba490a614ed762a3,0x28d804bf2212e220bc2b7b6252993db8286df07f,176
0x1337f7970e8399ccbc625647fce58a9dada5aa66,0x30093f4c35626a182f179496ffbf6da6a2ce47f2,147
0x9726041047644626468922598128349778349982,0xa66734d48d564e4e1c016c8d2ea2e9131b41c1ad,132
0xa357f162fe9c383edeee81fbc905c4bc7fca166f,0xdcf809bba1d9ee75c6991f1e2974163cf2555418,86
0xdcf809bba1d9ee75c6991f1e2974163cf2555418,0xa357f162fe9c383edeee81fbc905c4bc7fca166f,86
0x43a330dec81bbd5e21f41c6b8354e54d481efc93,0x7b7785abbfed1f47315b77d11b37159294c7c8d0,67
0xa1175a219dac539f2291377f77afd786d20e5882,0xa357f162fe9c383edeee81fbc905c4bc7fca166f,42
0xb59825afbba29d5257f877a8a64265c3a10fc2ab,0xaaa3f05f25eed87ee3a268f4582ec914e6245577,42
0x9726041047644626468922598128349778349982,0x55e1490a1878d0b61811726e2cb96560022e764c,40
0x61e0841d103d77325e7743d1ff7117efe7c2c9f6,0xb3f3658bf332ba6c9c0cc5bc1201caba7ada819b,36
0x23324ed44904260fe555b18e5ba95c6030b9227d,0xa66734d48d564e4e1c016c8d2ea2e9131b41c1ad,32
0x930af7923b8b5f8d3461ad1999ceeb8a62884b19,0xa66734d48d564e4e1c016c8d2ea2e9131b41c1ad,32
0x56bfeddfb2591615cf86c71faf5b8f5adf24e3c8,0x43a330dec81bbd5e21f41c6b8354e54d481efc93,29
0x372812e9891b2a8f2c8d7788ad3d90a0826d73c6,0xdcf809bba1d9ee75c6991f1e2974163cf2555418,28
0xdcf809bba1d9ee75c6991f1e2974163cf2555418,0x372812e9891b2a8f2c8d7788ad3d90a0826d73c6,28
0xaaa3f05f25eed87ee3a268f4582ec914e6245577,0x4f4bbe22192dead2650463ee871aedcfaf4deefd,27
0x44dc2ec15b3483fc8590f6b396cea5f8f2fbf3bd,0x96dc89dbe84970ee42a2f0b35fb50599e6745ff8,23
0x38a4d889a1979133fbc1d58f970f0953e3715c26,0xa66734d48d564e4e1c016c8d2ea2e9131b41c1ad,20
0x87c4f83123d6c8c74483cc62b34151b1aa156b61,0xe4af2493bb1f8d86c82a3bb631fd243f73da529c,20
0x9726041047644626468922598128349778349982,0x0006e4548aed4502ec8c844567840ce6ef1013f5,20
0x9f533382024f02632c832ea2b66f4bbb1dbc4087,0x49ee33799264a9ab74f4905d0ffe70f47654bb38,20
0x9f533382024f02632c832ea2b66f4bbb1dbc4087,0x5398850a9399da87624874704feaa8a9c6c4089b,20
0xa66734d48d564e4e1c016c8d2ea2e9131b41c1ad,0x0ebac44fca2453616da415c0be23529920fb8223,20
0x8cb8f79ae7ade73ec16fbaf33c86583aa7dfb5a3,0x450638daf0caedbdd9f8cb4a41fa1b24788b123e,14
0xbb004852594c9591ebd3528fd18acc3292ba84ea,0xa66734d48d564e4e1c016c8d2ea2e9131b41c1ad,13
0x0ebac44fca2453616da415c0be23529920fb8223,0xa66734d48d564e4e1c016c8d2ea2e9131b41c1ad,11
0xb59825afbba29d5257f877a8a64265c3a10fc2ab,0x450638daf0caedbdd9f8cb4a41fa1b24788b123e,11
0x259f962e77262ee8d97cc6a112d0e0321323ea0d,0x450638daf0caedbdd9f8cb4a41fa1b24788b123e,10
0x67941779e59cefdbc61af9cb047d44c173301795,0xa66734d48d564e4e1c016c8d2ea2e9131b41c1ad,9
0x8842a9c8dcb147a19ad46c3d80e10e22ba286638,0xa96d5fef3029a46a31bf4865cfde08684a8b9bb3,9
0xa66734d48d564e4e1c016c8d2ea2e9131b41c1ad,0x67941779e59cefdbc61af9cb047d44c173301795,9
0x1eeb82a8cd3bcec675ebbf29ee8192106a59c6af,0xe4af2493bb1f8d86c82a3bb631fd243f73da529c,8
0x5398850a9399da87624874704feaa8a9c6c4089b,0xdcf809bba1d9ee75c6991f1e2974163cf2555418,8
0x895d331d3d8914c023b72b1df29426d742d571eb,0xdcf809bba1d9ee75c6991f1e2974163cf2555418,8
0x91e371c3cd3aa81af27b1602d4d8cf9d81ec5a90,0xdcf809bba1d9ee75c6991f1e2974163cf2555418,8
0x96dc89dbe84970ee42a2f0b35fb50599e6745ff8,0x44dc2ec15b3483fc8590f6b396cea5f8f2fbf3bd,8
0xc887fadc6baaa8cd234d9104a65b37265522b024,0x450638daf0caedbdd9f8cb4a41fa1b24788b123e,8
0xdcf809bba1d9ee75c6991f1e2974163cf2555418,0x5398850a9399da87624874704feaa8a9c6c4089b,8
0xdcf809bba1d9ee75c6991f1e2974163cf2555418,0x895d331d3d8914c023b72b1df29426d742d571eb,8
0xdcf809bba1d9ee75c6991f1e2974163cf2555418,0x91e371c3cd3aa81af27b1602d4d8cf9d81ec5a90,8
0x91e371c3cd3aa81af27b1602d4d8cf9d81ec5a90,0xa66734d48d564e4e1c016c8d2ea2e9131b41c1ad,6
0x0722692deb9c7b0b910c75e7d07c25a0ce920fe2,0xdcf809bba1d9ee75c6991f1e2974163cf2555418,5
0x28d804bf2212e220bc2b7b6252993db8286df07f,0x23c0bae29b2c92d90ebdf2b78ff86f1cb1bb667d,5
0x30093f4c35626a182f179496ffbf6da6a2ce47f2,0x59d484a88823f90c25b7d6278a1d86116aee223d,5
0x30093f4c35626a182f179496ffbf6da6a2ce47f2,0xf8cc874fe4696131725018138fc4bb44866433e0,5
0x91e371c3cd3aa81af27b1602d4d8cf9d81ec5a90,0x67941779e59cefdbc61af9cb047d44c173301795,5
0xa66734d48d564e4e1c016c8d2ea2e9131b41c1ad,0x42d0ed91b55065fabcfb9ab3516437d01430c0e6,5
0xbad2e065edc215cb54a0e78391fb2abcb173f77d,0x450638daf0caedbdd9f8cb4a41fa1b24788b123e,5
0xbb004852594c9591ebd3528fd18acc3292ba84ea,0x930af7923b8b5f8d3461ad1999ceeb8a62884b19,5
0xdcf809bba1d9ee75c6991f1e2974163cf2555418,0x0722692deb9c7b0b910c75e7d07c25a0ce920fe2,5
0xe0a36ce07ea9bd3719a03a28948d398a8a093059,0xa1175a219dac539f2291377f77afd786d20e5882,5
0x02a5cbbb6ca999812968f4f035c7ecc59c830128,0x59d484a88823f90c25b7d6278a1d86116aee223d,4
0x10fe160dae09a8d2fce9d19767f0e888237cdae1,0xa96d5fef3029a46a31bf4865cfde08684a8b9bb3,4
0x28d804bf2212e220bc2b7b6252993db8286df07f,0x59d484a88823f90c25b7d6278a1d86116aee223d,4
0x28d804bf2212e220bc2b7b6252993db8286df07f,0xa1175a219dac539f2291377f77afd786d20e5882,4
0x35e057137060cd397bd82e3dff54beba480e7012,0xdcf809bba1d9ee75c6991f1e2974163cf2555418,4
0x42d0ed91b55065fabcfb9ab3516437d01430c0e6,0xa66734d48d564e4e1c016c8d2ea2e9131b41c1ad,4
0x44dc2ec15b3483fc8590f6b396cea5f8f2fbf3bd,0xec6d36a487d85cf562b7b8464ce8dc60637362ac,4
0x59d484a88823f90c25b7d6278a1d86116aee223d,0x42d0ed91b55065fabcfb9ab3516437d01430c0e6,4
0x81151729760b98a6680b82df40165b41a8c9f5e2,0x052564eb0fd8b340803df55def89c25c432f43f4,4
0x9044ff973720bad47c16de225c59fa42629e1794,0x3c2b4bdcd2f742c55186fc599cb733a127e2b8ab,4
0x96dc89dbe84970ee42a2f0b35fb50599e6745ff8,0x450638daf0caedbdd9f8cb4a41fa1b24788b123e,4
0xdcf809bba1d9ee75c6991f1e2974163cf2555418,0x35e057137060cd397bd82e3dff54beba480e7012,4
0xfc7092d1e9133ff09607a9eff4edaf87bd4e1800,0xd71a41ec000089ae99873afb4d15cc7d54dd95bc,4
0x04212b21b40631d4de9653e5ec751267c2599d11,0x39b2bd7b6362f5282b98a3f5cf779e2b3457f82b,3
0x04212b21b40631d4de9653e5ec751267c2599d11,0xe72eb31b59f85b19499a0f3b3260011894fa0d65,3
0x052564eb0fd8b340803df55def89c25c432f43f4,0x2e5e227280b1d5ee28500a9000296c112dc8efc5,3
0x077dbad02c2f5b965758dfc78c1561ba96548bc6,0x895d331d3d8914c023b72b1df29426d742d571eb,3
