target,source,value
0x71e3bccc654c58783700d996195105b309d9aaf7,0x01470541e5af1144d0570cc9bd71c766ffb13524,106
0x61e0841d103d77325e7743d1ff7117efe7c2c9f6,0xb3f3658bf332ba6c9c0cc5bc1201caba7ada819b,85
0x31468523e226b9212e12688b7bff7d8b6d3b94bf,0x7d81ebcc3234125c1ebd5ceb82b1ba53c3a26887,76
0x63f6c58be0c97b5cb19c4c92bc73a66eceb738b3,0x2b4daa89077190512488d5feba0c02b05141932c,63
0x2b4daa89077190512488d5feba0c02b05141932c,0x63f6c58be0c97b5cb19c4c92bc73a66eceb738b3,62
0x6341ce65a3171bec75bf6eba33eeea4a9ba59737,0x84abb6c94713d77970b7dcc3143412585ba6c4d9,17
0x84abb6c94713d77970b7dcc3143412585ba6c4d9,0x6341ce65a3171bec75bf6eba33eeea4a9ba59737,17
0x10fe160dae09a8d2fce9d19767f0e888237cdae1,0xb2218bc679868bbaac432ec58fb4050870894e18,15
0x186ebace2d904249ad7a5421f06c2d8c1b61181b,0x896463c65b70da9bbe267c2feb97ab59fc715506,12
0x4146bf6509a74ed4e06fb705910339fd5633312f,0x3df77d2e34891de95898999df3e934a7e7037c4d,10
0x93e54a08a3bbc14afafd72d247b3fdc163a3e953,0x98ec77e2e8f663bc93fddb58a4b157e64b6d3c42,8
0xb3f3658bf332ba6c9c0cc5bc1201caba7ada819b,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,5
0xbdd95abe8a7694ccd77143376b0fbea183e6a740,0x31468523e226b9212e12688b7bff7d8b6d3b94bf,5
0x5338035c008ea8c4b850052bc8dad6a33dc2206c,0x31468523e226b9212e12688b7bff7d8b6d3b94bf,4
0x93e54a08a3bbc14afafd72d247b3fdc163a3e953,0x8f79a9da9032d6ff29dcf185043ad28e0761d2b0,4
0xae31fa1969f2c8188ec939d2ec1547b82f00a13c,0xaa9772d31476e85fedd1099e40dd2ff5dee214ff,4
