target,source,value
0x520edc55cbf109139ec9f9c27db79a1d5d2c8865,0xeeeefc9fff639dbd77a067556deb8a6e8f24cb0b,101
0x0940b6c0d2bd85afed6c39402eca57a08c0b5aa2,0x048fff2995a7bf0aa639fe3435f73c4f87057bcb,92
0x048fff2995a7bf0aa639fe3435f73c4f87057bcb,0x0940b6c0d2bd85afed6c39402eca57a08c0b5aa2,91
0x8919755f0cc60550b41f72fc5f9d99ebe4a029d6,0x616413c4a4fee2d64d9f58a56b97684c0e380b37,84
0x616413c4a4fee2d64d9f58a56b97684c0e380b37,0x8919755f0cc60550b41f72fc5f9d99ebe4a029d6,80
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,0x4b1e684d5143eb7435e5d78385fa8cbdccd8f7ec,31
0x8919755f0cc60550b41f72fc5f9d99ebe4a029d6,0x134a7948e1363a95ee17a23c63b927152c4021ec,30
0x32fbe88b61f834da43ab98edc840a40cec08ff9c,0x6d91a43df4dae0af4b213dc63699ac482079841e,27
0x5b20783f4baabd33bb53dd77c9b0459f5701e36a,0xba6eb5d402d7e8e100a1ef309c8355a7fa7bac5d,26
0xcfd9ccafc35b86299fc5617f66e89c0782bacfe0,0x762ec7ca4658e76002447b0a29e1f44f575dbebc,26
0x2c2ed4b3876c442fee80bee76ce0ee2ca2a512af,0xc310e760778ecbca4c65b6c559874757a4c4ece0,20
0x134a7948e1363a95ee17a23c63b927152c4021ec,0x8919755f0cc60550b41f72fc5f9d99ebe4a029d6,16
0x91b0851797873bdbcd8a2a519a92fffcfde61041,0x563415679588e508c0c8f0a729c9bf898406e9b5,16
0xdf370df571f3d5099ccaf0b236caa08e4fe47c44,0xd2b7a9b78667c07ba54d7224c6745d9d781b7cb7,12
0x1447b49b636cb1fa24281efcd66aaac44188e3bc,0x8a033cd82f4855084d670477fead695f7e2a4a44,10
0x69bab6810fa99475854bca0a3dd72ae6a0728ece,0xc310e760778ecbca4c65b6c559874757a4c4ece0,8
0x8a033cd82f4855084d670477fead695f7e2a4a44,0x1447b49b636cb1fa24281efcd66aaac44188e3bc,8
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x8a033cd82f4855084d670477fead695f7e2a4a44,8
0x4b1e684d5143eb7435e5d78385fa8cbdccd8f7ec,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,7
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x5b20783f4baabd33bb53dd77c9b0459f5701e36a,7
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x81b3893a8f3557712705e83d2ab877710044d74d,6
0x26184303ebaf0d9257804cdeb993190bea31422f,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,5
0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0xc310e760778ecbca4c65b6c559874757a4c4ece0,5
0x616413c4a4fee2d64d9f58a56b97684c0e380b37,0x134a7948e1363a95ee17a23c63b927152c4021ec,5
0x7bef660b110023fd795d101d5d63972a82438661,0xda960704e7e4ecb8d907cdcb4bc87d8ec2ed2ad3,5
0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,0x3c51b4fdae7420a7e14998585da58e280e326916,5
0xa85f0bd039bd6ca4708b72150e29c68642cc3635,0xc310e760778ecbca4c65b6c559874757a4c4ece0,5
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x174e59a138d57556c8c883b36b7dafdbee391774,5
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x563415679588e508c0c8f0a729c9bf898406e9b5,5
0xccd6cbffb071304eca69dd591c2d7df579182e19,0x3993cc55734f019dcfd6ce00860165cd0ecc3e13,5
0xe632e1ea781df32c60ab11052958744cbfbc439a,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,5
0x134a7948e1363a95ee17a23c63b927152c4021ec,0x616413c4a4fee2d64d9f58a56b97684c0e380b37,4
0x174e59a138d57556c8c883b36b7dafdbee391774,0xc310e760778ecbca4c65b6c559874757a4c4ece0,4
0x228c1334fc57eb6e02ecc448e749a041124321c1,0xdf67544b82971a823ba1a3fa1d243a9eea392eb0,4
0x26184303ebaf0d9257804cdeb993190bea31422f,0xc310e760778ecbca4c65b6c559874757a4c4ece0,4
0x581eeec38be03a9b14493bb486dfabfe2e49c59a,0xc310e760778ecbca4c65b6c559874757a4c4ece0,4
0x702890594bd8944d22804b32965cbf5bccca9c12,0x2f14fc787e1fe8aed35ceb494f9c742919745fd2,4
0x975222a8365e6ab51b7867524f77261cd4ece06e,0x2e992e3941f67dc416de6275f496ceb2c0025da2,4
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x26184303ebaf0d9257804cdeb993190bea31422f,4
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,4
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0xa85f0bd039bd6ca4708b72150e29c68642cc3635,4
0xccd6cbffb071304eca69dd591c2d7df579182e19,0xc310e760778ecbca4c65b6c559874757a4c4ece0,4
0xda960704e7e4ecb8d907cdcb4bc87d8ec2ed2ad3,0x134a7948e1363a95ee17a23c63b927152c4021ec,4
0xda960704e7e4ecb8d907cdcb4bc87d8ec2ed2ad3,0x616413c4a4fee2d64d9f58a56b97684c0e380b37,4
0xeeeefc9fff639dbd77a067556deb8a6e8f24cb0b,0x2c2ed4b3876c442fee80bee76ce0ee2ca2a512af,4
0x134a7948e1363a95ee17a23c63b927152c4021ec,0xda960704e7e4ecb8d907cdcb4bc87d8ec2ed2ad3,3
