target,source,value
0x28e9162fc10bb3a7f98f44e90fa7273698fce360,0x1999a92711cf8815b7f6b07bd34b4287d853cfba,131
0x3693aba8f2d90b40ba5c975967a665ac30f67746,0x1999a92711cf8815b7f6b07bd34b4287d853cfba,72
0x38a4d889a1979133fbc1d58f970f0953e3715c26,0x28e9162fc10bb3a7f98f44e90fa7273698fce360,65
0xb630abd9a5367763b7cba316e870c4a54064cc9f,0xc665a60f22dda926b920deb8ffac0ef9d8a17460,62
0x1999a92711cf8815b7f6b07bd34b4287d853cfba,0x38a4d889a1979133fbc1d58f970f0953e3715c26,49
0x9c291280b4c50c1c083d3070019e00c5e62f9563,0xc40df87e16339f21fbb2e59fb38bf2a957a16ffd,44
0xef7f9d712a82ae54c6ece9d95b7e1ec7449747ed,0x1999a92711cf8815b7f6b07bd34b4287d853cfba,40
0x8bd8795cbeed15f8d5074f493c53b39c11ed37b2,0x6237c88fe026b1b27f494f49ba399448aaaa93c0,37
0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,0x42de10a720c59ed8dcc6e55d5e61e03b5ad70905,34
0x2e07df27127b34d9d497ac9154309bf2740e1ca7,0x268d3a8c4701000546dd0bf959bf6c8956cc3e5e,32
0xfd3ea1d43d610d315de7064478f30d4c502b4f17,0x1ff2875cd548eeae6d22f26bae2d72a50fd143c7,23
0x1999a92711cf8815b7f6b07bd34b4287d853cfba,0xfd3ea1d43d610d315de7064478f30d4c502b4f17,22
0x1999a92711cf8815b7f6b07bd34b4287d853cfba,0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596,20
0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596,0x28e9162fc10bb3a7f98f44e90fa7273698fce360,12
0x6237c88fe026b1b27f494f49ba399448aaaa93c0,0x8bd8795cbeed15f8d5074f493c53b39c11ed37b2,12
0x882ff1134f17017fe2c1f4b464eee7d4f0b0d476,0x3693aba8f2d90b40ba5c975967a665ac30f67746,10
0xfd3ea1d43d610d315de7064478f30d4c502b4f17,0x3693aba8f2d90b40ba5c975967a665ac30f67746,10
0x1999a92711cf8815b7f6b07bd34b4287d853cfba,0x899241b0c41051313ce36271a7e13d54c94877a1,9
0x1ff2875cd548eeae6d22f26bae2d72a50fd143c7,0xfd3ea1d43d610d315de7064478f30d4c502b4f17,9
0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,0x28e9162fc10bb3a7f98f44e90fa7273698fce360,7
0x899241b0c41051313ce36271a7e13d54c94877a1,0x28e9162fc10bb3a7f98f44e90fa7273698fce360,7
