target,source,value
0xf00a927ec2fe6c9201986717ad8e73534c71c30c,0xde148fe55eac0c0584a331711f2b621514a1a25f,88
0xfeae9fe11170fc19b6f40796fd1debfa360daacc,0x721931508df2764fd4f70c53da646cb8aed16ace,71
0xab61cc776cc19af7e99d3ba4539435311fa74e8a,0xe301612b0751f6d862a27be205fb8e3c40c8c6db,42
0xe74ca58ef724b94fac7f2e09e2e48536a5c1ad03,0x88341d1a8f672d2780c8dc725902aae72f143b0c,41
0x88341d1a8f672d2780c8dc725902aae72f143b0c,0xe74ca58ef724b94fac7f2e09e2e48536a5c1ad03,39
0x95306e91f11fbd86ddcd7a1bc8eed6b06b338a05,0xb7cc2f9cadb0665debfd419cc0edb1569259dbb2,38
0x94de7e2c73529ebf3206aa3459e699fbcdfcd49b,0x5ee16428738078ffbd6ef9f436cb1a6ff1fc478b,31
0x7be6e974dfc6e29515a91b704cf9a0fbc21d1624,0x5d8bff9300b6944cb2a2b88ae36fbaf8ee820afa,26
0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,0xf36972bbff0bb63dbc8f2c8a93625647b32e024b,25
0x641927e970222b10b2e8cdbc96b1b4f427316f16,0xa1a18c3558365c098ad1306075d8ac9b9ab78219,24
0x61be6fac719f871a24d9bdcdf97b6c94772c7e28,0xa1a18c3558365c098ad1306075d8ac9b9ab78219,17
0x8f6b1e467fbe74d7dd43d59de0558f693c736798,0xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,13
0xf36972bbff0bb63dbc8f2c8a93625647b32e024b,0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,13
0x4bbb41f61fffc1bbe65a2aa192c65281e16ea758,0xb36592765e61e1277778ab27162f87303de803ba,11
0xa1a18c3558365c098ad1306075d8ac9b9ab78219,0x61be6fac719f871a24d9bdcdf97b6c94772c7e28,11
0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,0x54b174179ae825ed630da40b625bb3c883cd40ae,10
0x61be6fac719f871a24d9bdcdf97b6c94772c7e28,0xb89d16beac18e513743baa6a6e09f60460367ac8,9
0xabf107de3e01c7c257e64e0a18d60a733aad395d,0xf36972bbff0bb63dbc8f2c8a93625647b32e024b,9
0x53fed1eb683745352886a363cc0b6e3415824ec8,0x61be6fac719f871a24d9bdcdf97b6c94772c7e28,8
0x0a2542a170aa02b96b588aa3af8b09ab22a9d7ac,0x22aa3f5d1daffe1a9df298e79a0cf2f98c1b92ff,7
0x2d75fb5482d92062cf5c52adf1d9a439dcd38b08,0x7be6e974dfc6e29515a91b704cf9a0fbc21d1624,7
0x61be6fac719f871a24d9bdcdf97b6c94772c7e28,0x53fed1eb683745352886a363cc0b6e3415824ec8,7
0x641927e970222b10b2e8cdbc96b1b4f427316f16,0xb89d16beac18e513743baa6a6e09f60460367ac8,7
0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0x14ae8100ea85a11bbb36578f83ab1b5c1cfdd61c,7
0x9048d24577d4c4bbf14f1020f20640b334f8c762,0x61be6fac719f871a24d9bdcdf97b6c94772c7e28,7
0xba19ba5233b49794c33f01654e99a60e579e6f29,0xa158ffb97cc5b65c7c762b31d3e8111688ee6940,7
0xda6ad74619e62503c4cbefbe02ae05c8f4314591,0x22aa3f5d1daffe1a9df298e79a0cf2f98c1b92ff,7
0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,0xa637522a82f89ec36fb358382c8b01610a4b5432,6
