target,source,value
0xe72eb31b59f85b19499a0f3b3260011894fa0d65,0x4897d38b0974051d8fa34364e37a5993f4a966a5,234
0x6efbaa556ba697e5736114b2ba2efac7d6576bc3,0xcb533258ea6f9238d07ce64e0389f8cf6f39333d,160
0xb630abd9a5367763b7cba316e870c4a54064cc9f,0xc665a60f22dda926b920deb8ffac0ef9d8a17460,57
0x874f50f5f9b1ede8110772463524786ff7d74877,0x3110cbaad657bab2f5c5a8dc6c5e276e5a4c6e32,50
0xfa83887a701db8ae2c25a3f79c2cae0158ab085d,0x2c0a5ed29d463f6c6180ff4dadab248158b6da5b,46
0x9634445e293a87ab77ca3cf5b43da94aabc544b6,0xeb11f192e91e2d4abff199b58222c89472584bf4,42
0x60dac39fff8e51be73e40d5003ec5dabcec0f1d5,0x22e83ce9d3ef9f5a00d4b0d6e56bc440e2de68d5,30
0xcb533258ea6f9238d07ce64e0389f8cf6f39333d,0x9634445e293a87ab77ca3cf5b43da94aabc544b6,20
0xc841b289918a1a7559263bc4c78af1ed15dd49c4,0xd417571a5c56ae01ee6e0d0fcaeb3b338e215144,12
0x1434a8eaa6d3725d44984d674e4f2dd9cc472bf4,0x268d3a8c4701000546dd0bf959bf6c8956cc3e5e,10
0x1434a8eaa6d3725d44984d674e4f2dd9cc472bf4,0x67f155474eb685aef6cd874169f25b3bded6aea6,10
0x6afdf83501af209d2455e49ed9179c209852a701,0x38a4d889a1979133fbc1d58f970f0953e3715c26,9
0x713a24fa5a811cdc1e9be72e670e8d3a6a9b89af,0x4d04eb67a2d1e01c71fad0366e0c200207a75487,9
0x5e92a45225c3925b6180b8672a3cf5dd75bcc4a1,0xe72eb31b59f85b19499a0f3b3260011894fa0d65,8
0xcb533258ea6f9238d07ce64e0389f8cf6f39333d,0x24d9be8c2589c9873bc636e24972cdb891cdbc25,8
0x1ff2875cd548eeae6d22f26bae2d72a50fd143c7,0x24d9be8c2589c9873bc636e24972cdb891cdbc25,7
0x9634445e293a87ab77ca3cf5b43da94aabc544b6,0xb2329a3c03b7c61b7b3d4016e5548c07d5c98daf,7
0x52489ad4ae5aaf6f85eefa1bb74162c4cd1b413b,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,6
0x52489ad4ae5aaf6f85eefa1bb74162c4cd1b413b,0xd2c8b22d48d83de84ce33438d17b285fb04b8e44,6
0x52489ad4ae5aaf6f85eefa1bb74162c4cd1b413b,0xec9e512fe7e90134d8ca7295329ccb0a57c91ecb,6
0x6afdf83501af209d2455e49ed9179c209852a701,0x8f10ae3ffd993bfb0a71e58e1bb606439dd5b301,6
0x713a24fa5a811cdc1e9be72e670e8d3a6a9b89af,0xb32b4350c25141e779d392c1dbe857b62b60b4c9,6
0x8f10ae3ffd993bfb0a71e58e1bb606439dd5b301,0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a,6
0x8f10ae3ffd993bfb0a71e58e1bb606439dd5b301,0xc142995f05436c91bba172b7d17522a301323236,6
0xcb533258ea6f9238d07ce64e0389f8cf6f39333d,0xe72eb31b59f85b19499a0f3b3260011894fa0d65,6
0x268d3a8c4701000546dd0bf959bf6c8956cc3e5e,0xd417571a5c56ae01ee6e0d0fcaeb3b338e215144,5
0x3110cbaad657bab2f5c5a8dc6c5e276e5a4c6e32,0xd39d7690f3bc17a1fea3f07f42379d73cf8623af,5
0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,0x18d53550ac185bcff1beec179bb46b4c7b4e31b1,5
0x67f155474eb685aef6cd874169f25b3bded6aea6,0x1434a8eaa6d3725d44984d674e4f2dd9cc472bf4,5
0x00f09f87a2e15c9666f37ad48c01e180e66381ed,0x24d9be8c2589c9873bc636e24972cdb891cdbc25,4
0x1434a8eaa6d3725d44984d674e4f2dd9cc472bf4,0xd417571a5c56ae01ee6e0d0fcaeb3b338e215144,4
0x1dc301854bfecb4ba03eb417579585c2b8ea12c1,0xce0d6a61503204ac128b14a293cbe87ff4eb1dc1,4
