wallet_hash,page_rank,weighted_cluster_coeff
0x620b70123fb810f6c653da7644b5dd0b6312e4d8,0.005816958,0.000500742
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0.004050763,0.003541146
0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,0.002916339,0.006249291
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0.002710541,0.005327977
0xe052113bd7d7700d623414a0a4585bcae754e9d5,0.000918358,0.001432418
0xdcf809bba1d9ee75c6991f1e2974163cf2555418,0.000867773,0.005466115
0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.000815879,0.016859483
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,0.000756755,0.021290938
0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0.000753751,0.002873349
0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a,0.000607029,0.034359614
0x88341d1a8f672d2780c8dc725902aae72f143b0c,0.000605931,0.004682169
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,0.000573003,0.010790028
0xfc840af78a496b52e378dfa94838402e1b7f71dd,0.000532016,0.008518079
0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596,0.000502122,0.006403386
0x577ebc5de943e35cdf9ecb5bbe1f7d7cb6c7c647,0.000501502,0.016218629
0x38a4d889a1979133fbc1d58f970f0953e3715c26,0.000494644,0.008866291
0x721931508df2764fd4f70c53da646cb8aed16ace,0.000456965,0.016337623
0x114f1388fab456c4ba31b1850b244eedcd024136,0.000447863,0.015477218
0x265cdd11b3abb0432a35300f6afb214777280817,0.000441346,0.001799242
0x54b174179ae825ed630da40b625bb3c883cd40ae,0.000437889,0.006933278
0xeb11f192e91e2d4abff199b58222c89472584bf4,0.000436962,0.00955322
0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,0.000420956,0.01154574
0xaf93fcce0548d3124a5fc3045adaf1dde4e8bf7e,0.000410132,0.034411069
0x1434a8eaa6d3725d44984d674e4f2dd9cc472bf4,0.000405662,0.011885963
0xea39c551834d07ee2ee87f1ceff843c308e089af,0.000402648,0.012726389
0x00d7c902fbbcd3c9db2da80a439c94486c50eb81,0.000399994,0.080093226
0x53fed1eb683745352886a363cc0b6e3415824ec8,0.000387634,0.003199393
0x1999a92711cf8815b7f6b07bd34b4287d853cfba,0.000381793,0.046588497
0x46e449a3f88d0e35b4520bc36e8dfda195c896b0,0.000372878,0.01716184
0xe72eb31b59f85b19499a0f3b3260011894fa0d65,0.000358786,0.010512166
0x6f4a2d3a4f47f9c647d86c929755593911ee91ec,0.000357905,0.018664319
0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,0.000353338,0.015857956
0x6903f3a1540946c34e3a577ad6ffcbe43356dcbe,0.000352907,0.006590657
0x3c6137504c38215fea30605b3e364a23c1d3e14f,0.000351081,0.00356948
0xbd74c3f96c38478460a0e3c88ac86dd133af72be,0.000341553,0.002413417
0x268d3a8c4701000546dd0bf959bf6c8956cc3e5e,0.000341238,0.013523105
0x65ab793bd82cf8d9f035d4742b95e2c16a6b8849,0.000339047,0.003380579
0xb3ee5011a7965905cde351ea4905ff4725189a3b,0.000335773,0.003921346
0xe18a94a1e60903b1ec39d9104bed27d9a73ad9e2,0.000328891,0.005395816
0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,0.000318642,0.025965847
0x62bdc64a14405e797f86796ea3c2476209ee0bf9,0.00031698,0.037496554
0x904778b44bd12a1f7c3f1b95ff3381a952296cd1,0.000312806,0.002411348
0xb697b9455eeee9574ec5c5350cb10c8a5b752a39,0.000305708,0.010761109
0x2dab4ce3490bb50b2ea4c07ab1b6a9cfe29d89b3,0.000304956,0.012358796
0xb32b4350c25141e779d392c1dbe857b62b60b4c9,0.000297382,0.002312553
0x80845058350b8c3df5c3015d8a717d64b3bf9267,0.000296362,0.016787791
0x4fed1f42ba007d1f7a6f0df4ae100170adb305c6,0.00029073,0.015281723
0x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,0.000288079,0.023717332
0x1731bdd386e021a7744282454887a87551725819,0.000283105,0.014681173
