target,source,value
0x442dccee68425828c106a3662014b4f131e3bd9b,0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,271
0x59d484a88823f90c25b7d6278a1d86116aee223d,0xdcf809bba1d9ee75c6991f1e2974163cf2555418,238
0xdcf809bba1d9ee75c6991f1e2974163cf2555418,0x59d484a88823f90c25b7d6278a1d86116aee223d,238
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,0x6639c089adfba8bb9968da643c6be208a70d6daa,211
0x00d7c902fbbcd3c9db2da80a439c94486c50eb81,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,155
0x28e9162fc10bb3a7f98f44e90fa7273698fce360,0x1999a92711cf8815b7f6b07bd34b4287d853cfba,131
0xaf93fcce0548d3124a5fc3045adaf1dde4e8bf7e,0x269616d549d7e8eaa82dfb17028d0b212d11232a,121
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0xaf93fcce0548d3124a5fc3045adaf1dde4e8bf7e,121
0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0xc310e760778ecbca4c65b6c559874757a4c4ece0,96
0xd472b0798421159999e3db0aaa2d53bc0d7acfa3,0x975222a8365e6ab51b7867524f77261cd4ece06e,92
0x38a4d889a1979133fbc1d58f970f0953e3715c26,0x28e9162fc10bb3a7f98f44e90fa7273698fce360,90
0xaf93fcce0548d3124a5fc3045adaf1dde4e8bf7e,0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,89
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0x62bdc64a14405e797f86796ea3c2476209ee0bf9,82
0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,0xaf93fcce0548d3124a5fc3045adaf1dde4e8bf7e,78
0x2c2ed4b3876c442fee80bee76ce0ee2ca2a512af,0xc310e760778ecbca4c65b6c559874757a4c4ece0,73
0x269616d549d7e8eaa82dfb17028d0b212d11232a,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,63
0xc352b534e8b987e036a93539fd6897f53488e56a,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,55
0x1999a92711cf8815b7f6b07bd34b4287d853cfba,0x38a4d889a1979133fbc1d58f970f0953e3715c26,49
0x6b3bacba7a6da1d6660079f5fd49fdc167ec5783,0xc310e760778ecbca4c65b6c559874757a4c4ece0,45
0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,0x442dccee68425828c106a3662014b4f131e3bd9b,44
0x46e449a3f88d0e35b4520bc36e8dfda195c896b0,0xc310e760778ecbca4c65b6c559874757a4c4ece0,39
0xaf93fcce0548d3124a5fc3045adaf1dde4e8bf7e,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,37
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,34
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x2c2ed4b3876c442fee80bee76ce0ee2ca2a512af,29
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x6b3bacba7a6da1d6660079f5fd49fdc167ec5783,28
0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,26
0x6639c089adfba8bb9968da643c6be208a70d6daa,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,26
0x701f373df763308d96d8537822e8f9b2bae4e847,0x114f1388fab456c4ba31b1850b244eedcd024136,26
0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,0x80845058350b8c3df5c3015d8a717d64b3bf9267,25
0x114f1388fab456c4ba31b1850b244eedcd024136,0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,24
0x052564eb0fd8b340803df55def89c25c432f43f4,0x620b70123fb810f6c653da7644b5dd0b6312e4d8,23
0x620b70123fb810f6c653da7644b5dd0b6312e4d8,0x052564eb0fd8b340803df55def89c25c432f43f4,23
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,23
