source,target,value
0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0xc310e760778ecbca4c65b6c559874757a4c4ece0,96
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0x62bdc64a14405e797f86796ea3c2476209ee0bf9,82
0x6b3bacba7a6da1d6660079f5fd49fdc167ec5783,0xc310e760778ecbca4c65b6c559874757a4c4ece0,45
0x46e449a3f88d0e35b4520bc36e8dfda195c896b0,0xc310e760778ecbca4c65b6c559874757a4c4ece0,39
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,34
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x6b3bacba7a6da1d6660079f5fd49fdc167ec5783,28
0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,26
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,23
0x577ebc5de943e35cdf9ecb5bbe1f7d7cb6c7c647,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,15
0xea39c551834d07ee2ee87f1ceff843c308e089af,0xc310e760778ecbca4c65b6c559874757a4c4ece0,15
0xb697b9455eeee9574ec5c5350cb10c8a5b752a39,0x620b70123fb810f6c653da7644b5dd0b6312e4d8,14
0x7d544a853dbcd39a53315e7002f4951a6d2f080d,0xc310e760778ecbca4c65b6c559874757a4c4ece0,11
0x1434a8eaa6d3725d44984d674e4f2dd9cc472bf4,0x268d3a8c4701000546dd0bf959bf6c8956cc3e5e,10
0x62bdc64a14405e797f86796ea3c2476209ee0bf9,0x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,9
0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x46e449a3f88d0e35b4520bc36e8dfda195c896b0,9
0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,0xc310e760778ecbca4c65b6c559874757a4c4ece0,8
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0x442dccee68425828c106a3662014b4f131e3bd9b,8
0x620b70123fb810f6c653da7644b5dd0b6312e4d8,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,7
0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,7
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,7
0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,0x620b70123fb810f6c653da7644b5dd0b6312e4d8,7
0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,0x7d544a853dbcd39a53315e7002f4951a6d2f080d,7
